,Original nk,To be liquidated (xk),Efficient xk,Hyperbolic sinus,Price
0,246.0,-1433.0,-1916.4159412582194,-281.40419779649767,99.48200000000001
1,-551.0,-882.0,4292.460096070239,951.0824407708543,99.50200000000001
2,-454.0,-428.0,3536.8001517529738,1792.4792693466839,100.098
3,33.0,-461.0,-257.08018724195625,1896.799744904835,99.26799999999999
4,-75.0,-386.0,584.2731528226278,1221.1467712364852,99.47200000000001
5,183.0,-569.0,-1425.626492887212,43.35219736410211,99.493
6,-405.0,-164.0,3155.0750252421903,-1152.2690147712,100.296
7,713.0,-877.0,-5554.490106167115,-1874.0715012861117,99.113
8,-306.0,-571.0,2383.8344635163216,-1825.2465049148168,99.53399999999999
9,-80.0,-491.0,623.2246963441364,-1025.8711059766838,99.28399999999999
10,773.0,-1264.0,-6021.908628425217,195.3475724851768,99.206
11,-85.0,-1179.0,662.1762398656449,1336.2383616595419,99.765
12,10.0,-1189.0,-77.90308704301705,1927.6613186434004,99.68
13,252.0,-1441.0,-1963.1577934840295,1726.4203944339192,99.471
14,-167.0,-1274.0,1300.9815536183846,815.266853735176,99.758
15,-310.0,-964.0,2414.9956983335287,-431.128454923523,100.14
16,-578.0,-386.0,4502.798431086385,-1500.2416077038054,99.912
17,-115.0,-271.0,895.885500994696,-1952.4479812749767,100.37
18,-91.0,-180.0,708.9180920914552,-1601.7980752198882,100.035
19,-14.0,-166.0,109.06432186022386,-592.4808675428975,99.976
20,-19.0,-147.0,148.0158653817324,660.4674071982445,99.988
21,-7.0,-140.0,54.53216093011193,1641.828213057717,100.79899999999999
22,-222.0,82.0,1729.4485323549784,1948.0611263624264,100.887
23,82.0,0.0,-638.8053137527398,1453.2416565073088,100.948
